Date, level, difference value
15/06/2019, 1, -0.25115967
16/06/2019, 100, -0.34210205
16/06/2019, 70, -0.30178833
16/06/2019, 50, -0.07940674
16/06/2019, 30, -0.058441162
16/06/2019, 20, 0.084747314
16/06/2019, 10, -0.36383057
16/06/2019, 7, -1.1611176
16/06/2019, 5, -1.2354889
16/06/2019, 3, -2.3230286
16/06/2019, 2, -0.20718384
16/06/2019, 1, -0.046432495
17/06/2019, 100, -0.30343628
17/06/2019, 70, -0.31802368
17/06/2019, 50, -0.1618042
17/06/2019, 30, -0.01512146
17/06/2019, 20, 0.041107178
17/06/2019, 10, -0.49430847
17/06/2019, 7, -1.1052856
17/06/2019, 5, -0.6256561
17/06/2019, 3, -2.8869781
17/06/2019, 2, -0.2781372
17/06/2019, 1, 0.1642456
18/06/2019, 100, -0.29266357
18/06/2019, 70, -0.31800842
18/06/2019, 50, -0.118377686
18/06/2019, 30, -0.06916809
18/06/2019, 20, -0.0690155
18/06/2019, 10, -0.44265747
18/06/2019, 7, -1.1168671
18/06/2019, 5, -1.4240723
18/06/2019, 3, -2.7400513
18/06/2019, 2, -0.29655457
18/06/2019, 1, 0.5648041
19/06/2019, 100, -0.3581848
19/06/2019, 70, -0.3164215
19/06/2019, 50, -0.1341095
19/06/2019, 30, -0.14167786
19/06/2019, 20, -0.03869629
19/06/2019, 10, -0.26480103
19/06/2019, 7, -1.368515
19/06/2019, 5, -1.3581543
19/06/2019, 3, -2.6869507
19/06/2019, 2, 0.41703796
19/06/2019, 1, -0.5274811
20/06/2019, 100, -0.28282166
20/06/2019, 70, -0.34965515
20/06/2019, 50, -0.19380188
20/06/2019, 30, -0.11387634
20/06/2019, 20, 0.021606445
20/06/2019, 10, -0.380661
20/06/2019, 7, -1.4461823
20/06/2019, 5, -1.2653961
20/06/2019, 3, -2.4277039
20/06/2019, 2, 1.3933868
20/06/2019, 1, -1.5787048
21/06/2019, 100, -0.36972046
21/06/2019, 70, -0.38459778
21/06/2019, 50, -0.20840454
21/06/2019, 30, -0.060287476
21/06/2019, 20, -0.15104675
21/06/2019, 10, -0.117263794
21/06/2019, 7, -1.4312134
21/06/2019, 5, -1.2154846
21/06/2019, 3, -2.0926666
21/06/2019, 2, 1.2362213
21/06/2019, 1, -0.99998474
22/06/2019, 100, -0.3871765
22/06/2019, 70, -0.3326416
22/06/2019, 50, -0.25975037
22/06/2019, 30, -0.118011475
22/06/2019, 20, -0.12614441
22/06/2019, 10, -0.21957397
22/06/2019, 7, -1.0904694
22/06/2019, 5, -1.1945496
22/06/2019, 3, -2.4628906
22/06/2019, 2, 0.97657776
22/06/2019, 1, -0.35617065
23/06/2019, 100, -0.4658661
23/06/2019, 70, -0.3725891
23/06/2019, 50, -0.236969
23/06/2019, 30, -0.13127136
23/06/2019, 20, -0.2052002
23/06/2019, 10, -0.13536072
23/06/2019, 7, -1.2431183
23/06/2019, 5, -1.2865753
23/06/2019, 3, -2.0991974
23/06/2019, 2, 0.35923767
23/06/2019, 1, -0.75575256
24/06/2019, 100, -0.432312
24/06/2019, 70, -0.35603333
24/06/2019, 50, -0.22753906
24/06/2019, 30, 0.015304565
24/06/2019, 20, -0.048828125
24/06/2019, 10, -0.20193481
24/06/2019, 7, -1.3079529
24/06/2019, 5, -1.192627
24/06/2019, 3, -2.512024
24/06/2019, 2, -0.096466064
24/06/2019, 1, -1.4917755
25/06/2019, 100, -0.5649414
25/06/2019, 70, -0.38745117
25/06/2019, 50, -0.18255615
25/06/2019, 30, -0.055923462
25/06/2019, 20, -0.2319336
25/06/2019, 10, -0.17623901
25/06/2019, 7, -1.2645264
25/06/2019, 5, -0.88449097
25/06/2019, 3, -2.3412933
25/06/2019, 2, -0.99053955
25/06/2019, 1, -1.4750824
26/06/2019, 100, -0.47328186
26/06/2019, 70, -0.3556671
26/06/2019, 50, -0.14709473
26/06/2019, 30, -0.12936401
26/06/2019, 20, -0.09942627
26/06/2019, 10, -0.17060852
26/06/2019, 7, -1.423584
26/06/2019, 5, -0.93582153
26/06/2019, 3, -2.02005
26/06/2019, 2, -0.55651855
26/06/2019, 1, -1.9861603
27/06/2019, 100, -0.4520111
27/06/2019, 70, -0.33294678
27/06/2019, 50, -0.13383484
27/06/2019, 30, 0.008056641
27/06/2019, 20, 0.004058838
27/06/2019, 10, -0.37973022
27/06/2019, 7, -1.0605011
27/06/2019, 5, -0.5373688
27/06/2019, 3, -2.7124634
27/06/2019, 2, -0.797699
27/06/2019, 1, -1.0241852
28/06/2019, 100, -0.563324
28/06/2019, 70, -0.38067627
28/06/2019, 50, -0.082977295
28/06/2019, 30, -0.03363037
28/06/2019, 20, 0.0012207031
28/06/2019, 10, -0.37397766
28/06/2019, 7, -0.77838135
28/06/2019, 5, -0.61087036
28/06/2019, 3, -2.2421112
28/06/2019, 2, -0.7827606
28/06/2019, 1, -0.7286682
29/06/2019, 100, -0.42573547
29/06/2019, 70, -0.38946533
29/06/2019, 50, -0.18106079
29/06/2019, 30, 0.07661438
29/06/2019, 20, -0.07287598
29/06/2019, 10, -0.2965393
29/06/2019, 7, -1.1159058
29/06/2019, 5, -0.63586426
29/06/2019, 3, -2.7459717
29/06/2019, 2, -0.5562744
29/06/2019, 1, -1.042923
30/06/2019, 100, -0.47634888
30/06/2019, 70, -0.32540894
30/06/2019, 50, -0.22299194
30/06/2019, 30, 0.0126953125
30/06/2019, 20, -0.03627014
30/06/2019, 10, -0.319458
30/06/2019, 7, -1.0361481
30/06/2019, 5, -0.62171936
30/06/2019, 3, -3.0874634
30/06/2019, 2, -0.40878296
30/06/2019, 1, -0.3316803
01/07/2019, 100, -0.35133362
01/07/2019, 70, -0.32929993
01/07/2019, 50, -0.10925293
01/07/2019, 30, -0.023605347
01/07/2019, 20, 0.019577026
01/07/2019, 10, -0.31692505
01/07/2019, 7, -1.1340332
01/07/2019, 5, -0.7847748
01/07/2019, 3, -3.028946
01/07/2019, 2, -0.24279785
01/07/2019, 1, -0.45629883
02/07/2019, 100, -0.29623413
02/07/2019, 70, -0.29690552
02/07/2019, 50, -0.059402466
02/07/2019, 30, 0.021591187
02/07/2019, 20, -0.15681458
02/07/2019, 10, -0.14430237
02/07/2019, 7, -1.1343079
02/07/2019, 5, -1.0229492
02/07/2019, 3, -2.912796
02/07/2019, 2, -0.19419861
02/07/2019, 1, -0.31214905
03/07/2019, 100, -0.30369568
03/07/2019, 70, -0.3385315
03/07/2019, 50, -0.071762085
03/07/2019, 30, 0.10160828
03/07/2019, 20, -0.07713318
03/07/2019, 10, -0.13128662
03/07/2019, 7, -1.0609741
03/07/2019, 5, -0.753067
03/07/2019, 3, -3.0712738
03/07/2019, 2, -0.50027466
03/07/2019, 1, 0.2872467
04/07/2019, 100, -0.36038208
04/07/2019, 70, -0.3733368
04/07/2019, 50, -0.11193848
04/07/2019, 30, 0.076934814
04/07/2019, 20, 0.04486084
04/07/2019, 10, -0.15678406
04/07/2019, 7, -1.0732269
04/07/2019, 5, -1.0752106
04/07/2019, 3, -3.1562195
04/07/2019, 2, -0.2574005
04/07/2019, 1, 0.2979126
05/07/2019, 100, -0.40304565
05/07/2019, 70, -0.3778534
05/07/2019, 50, -0.14640808
05/07/2019, 30, -0.0065612793
05/07/2019, 20, -0.077438354
05/07/2019, 10, -0.14346313
05/07/2019, 7, -1.3513031
05/07/2019, 5, -1.1168823
05/07/2019, 3, -2.7143402
05/07/2019, 2, -0.5411072
05/07/2019, 1, 0.18995667
06/07/2019, 100, -0.43437195
06/07/2019, 70, -0.3556366
06/07/2019, 50, -0.11286926
06/07/2019, 30, -0.11294556
06/07/2019, 20, 0.0021972656
06/07/2019, 10, -0.3896942
06/07/2019, 7, -1.330307
06/07/2019, 5, -0.887619
06/07/2019, 3, -3.109085
06/07/2019, 2, 0.21731567
06/07/2019, 1, -1.2133789
07/07/2019, 100, -0.58810425
07/07/2019, 70, -0.35177612
07/07/2019, 50, -0.13626099
07/07/2019, 30, -0.0644989
07/07/2019, 20, 0.00079345703
07/07/2019, 10, -0.21890259
07/07/2019, 7, -1.0589294
07/07/2019, 5, -0.835968
07/07/2019, 3, -2.9138947
07/07/2019, 2, 0.7211609
07/07/2019, 1, -0.5980835
08/07/2019, 100, -0.57743835
08/07/2019, 70, -0.28738403
08/07/2019, 50, -0.03994751
08/07/2019, 30, 0.050247192
08/07/2019, 20, 0.013259888
08/07/2019, 10, -0.21437073
08/07/2019, 7, -0.8100586
08/07/2019, 5, -0.75582886
08/07/2019, 3, -3.0479279
08/07/2019, 2, 0.5200653
08/07/2019, 1, 0.4164734
09/07/2019, 100, -0.39613342
09/07/2019, 70, -0.22988892
09/07/2019, 50, -0.089157104
09/07/2019, 30, 0.07659912
09/07/2019, 20, 0.068237305
09/07/2019, 10, -0.3635559
09/07/2019, 7, -0.72332764
09/07/2019, 5, -1.058609
09/07/2019, 3, -3.0451965
09/07/2019, 2, 0.18753052
09/07/2019, 1, -0.22770691
10/07/2019, 100, -0.4943695
10/07/2019, 70, -0.33776855
10/07/2019, 50, -0.12132263
10/07/2019, 30, -0.049942017
10/07/2019, 20, -0.065200806
10/07/2019, 10, -0.16090393
10/07/2019, 7, -1.0595245
10/07/2019, 5, -1.1140442
10/07/2019, 3, -3.2924957
10/07/2019, 2, 0.3481903
10/07/2019, 1, 0.138443
11/07/2019, 100, -0.48902893
11/07/2019, 70, -0.2733307
11/07/2019, 50, -0.13769531
11/07/2019, 30, -0.0011901855
11/07/2019, 20, -0.032669067
11/07/2019, 10, -0.36706543
11/07/2019, 7, -0.69493103
11/07/2019, 5, -0.92456055
11/07/2019, 3, -3.116623
11/07/2019, 2, 0.41377258
11/07/2019, 1, 0.14073181
12/07/2019, 100, -0.36097717
12/07/2019, 70, -0.32199097
12/07/2019, 50, -0.18356323
12/07/2019, 30, 0.059783936
12/07/2019, 20, 0.053466797
12/07/2019, 10, -0.15942383
12/07/2019, 7, -1.0112305
12/07/2019, 5, -1.041336
12/07/2019, 3, -2.728485
12/07/2019, 2, 0.3917694
12/07/2019, 1, 0.5001068
13/07/2019, 100, -0.3106537
13/07/2019, 70, -0.30220032
13/07/2019, 50, -0.17485046
13/07/2019, 30, 0.018966675
13/07/2019, 20, 0.07635498
13/07/2019, 10, -0.12246704
13/07/2019, 7, -1.0642853
13/07/2019, 5, -1.2362976
13/07/2019, 3, -2.748886
13/07/2019, 2, -0.35029602
13/07/2019, 1, 1.1867828
14/07/2019, 100, -0.32618713
14/07/2019, 70, -0.3583374
14/07/2019, 50, -0.13113403
14/07/2019, 30, -0.007446289
14/07/2019, 20, 0.15429688
14/07/2019, 10, -0.29832458
14/07/2019, 7, -0.93759155
14/07/2019, 5, -1.0129089
14/07/2019, 3, -2.950531
14/07/2019, 2, 0.102630615
14/07/2019, 1, 1.4905243
15/07/2019, 100, -0.33851624
15/07/2019, 70, -0.3519745
15/07/2019, 50, -0.12123108
15/07/2019, 30, -0.0016174316
15/07/2019, 20, 0.07527161
15/07/2019, 10, -0.16404724
15/07/2019, 7, -0.5061035
15/07/2019, 5, -0.6104889
15/07/2019, 3, -3.2657013
15/07/2019, 2, -0.028060913
15/07/2019, 1, 1.9468536
16/07/2019, 100, -0.36631775
16/07/2019, 70, -0.34225464
16/07/2019, 50, -0.16033936
16/07/2019, 30, -0.013290405
16/07/2019, 20, 0.024291992
16/07/2019, 10, -0.15055847
16/07/2019, 7, -0.8436279
16/07/2019, 5, -0.9907837
16/07/2019, 3, -3.1721802
16/07/2019, 2, -0.145401
16/07/2019, 1, 0.66799927
17/07/2019, 100, -0.30314636
17/07/2019, 70, -0.26896667
17/07/2019, 50, -0.15130615
17/07/2019, 30, -0.04156494
17/07/2019, 20, 0.05053711
17/07/2019, 10, -0.13201904
17/07/2019, 7, -0.8311615
17/07/2019, 5, -1.0919952
17/07/2019, 3, -3.00383
17/07/2019, 2, 0.40670776
17/07/2019, 1, 0.44425964
18/07/2019, 100, -0.1933136
18/07/2019, 70, -0.22731018
18/07/2019, 50, -0.07409668
18/07/2019, 30, -0.01651001
18/07/2019, 20, 0.056793213
18/07/2019, 10, -0.24963379
18/07/2019, 7, -0.6615753
18/07/2019, 5, -0.9073181
18/07/2019, 3, -3.061325
18/07/2019, 2, 0.39344788
18/07/2019, 1, 1.237915
19/07/2019, 100, -0.19599915
19/07/2019, 70, -0.24006653
19/07/2019, 50, -0.0135650635
19/07/2019, 30, -0.02078247
19/07/2019, 20, 0.19909668
19/07/2019, 10, -0.21549988
19/07/2019, 7, -0.680542
19/07/2019, 5, -0.98802185
19/07/2019, 3, -3.1484375
19/07/2019, 2, 0.7950134
19/07/2019, 1, 2.1938934
20/07/2019, 100, -0.24191284
20/07/2019, 70, -0.25993347
20/07/2019, 50, -0.003967285
20/07/2019, 30, -0.09776306
20/07/2019, 20, 0.06983948
20/07/2019, 10, -0.008728027
20/07/2019, 7, -0.9268341
20/07/2019, 5, -1.1612701
20/07/2019, 3, -3.0285797
20/07/2019, 2, -0.19004822
20/07/2019, 1, 1.8709412
21/07/2019, 100, -0.36288452
21/07/2019, 70, -0.27313232
21/07/2019, 50, -0.032211304
21/07/2019, 30, -0.029174805
21/07/2019, 20, 0.021896362
21/07/2019, 10, 0.026382446
21/07/2019, 7, -0.82725525
21/07/2019, 5, -1.2162018
21/07/2019, 3, -2.546875
21/07/2019, 2, -0.63378906
21/07/2019, 1, 1.8725739
22/07/2019, 100, -0.37794495
22/07/2019, 70, -0.3026123
22/07/2019, 50, -0.13542175
22/07/2019, 30, -0.061767578
22/07/2019, 20, 0.17744446
22/07/2019, 10, -0.024093628
22/07/2019, 7, -0.792511
22/07/2019, 5, -1.1998596
22/07/2019, 3, -2.4303741
22/07/2019, 2, -0.80171204
22/07/2019, 1, 1.291626
23/07/2019, 100, -0.36328125
23/07/2019, 70, -0.35308838
23/07/2019, 50, -0.14564514
23/07/2019, 30, -0.04888916
23/07/2019, 20, 0.03186035
23/07/2019, 10, -0.19625854
23/07/2019, 7, -1.0091705
23/07/2019, 5, -1.4216614
23/07/2019, 3, -2.66156
23/07/2019, 2, -1.1427155
23/07/2019, 1, 1.5116119
24/07/2019, 100, -0.32354736
24/07/2019, 70, -0.28938293
24/07/2019, 50, -0.281662
24/07/2019, 30, 0.02053833
24/07/2019, 20, 0.078552246
24/07/2019, 10, -0.39897156
24/07/2019, 7, -1.2257843
24/07/2019, 5, -1.7297974
24/07/2019, 3, -2.426468
24/07/2019, 2, -0.20051575
24/07/2019, 1, -0.037246704
25/07/2019, 100, -0.33869934
25/07/2019, 70, -0.24475098
25/07/2019, 50, -0.18605042
25/07/2019, 30, -0.0040130615
25/07/2019, 20, 0.058898926
25/07/2019, 10, -0.34046936
25/07/2019, 7, -1.3179169
25/07/2019, 5, -1.2953186
25/07/2019, 3, -3.2734833
25/07/2019, 2, -0.7167053
25/07/2019, 1, 0.6255188
26/07/2019, 100, -0.374588
26/07/2019, 70, -0.3122406
26/07/2019, 50, -0.17019653
26/07/2019, 30, -0.13517761
26/07/2019, 20, 0.025650024
26/07/2019, 10, -0.44003296
26/07/2019, 7, -1.1902313
26/07/2019, 5, -1.1164551
26/07/2019, 3, -4.0597534
26/07/2019, 2, -1.6660461
26/07/2019, 1, 2.083191
27/07/2019, 100, -0.38069153
27/07/2019, 70, -0.37132263
27/07/2019, 50, -0.15626526
27/07/2019, 30, -0.16609192
27/07/2019, 20, -0.12269592
27/07/2019, 10, -0.48690796
27/07/2019, 7, -1.3186188
27/07/2019, 5, -1.6661377
27/07/2019, 3, -4.707611
27/07/2019, 2, -1.4365845
27/07/2019, 1, 3.2240295
28/07/2019, 100, -0.31886292
28/07/2019, 70, -0.28141785
28/07/2019, 50, -0.15473938
28/07/2019, 30, -0.117004395
28/07/2019, 20, -0.040985107
28/07/2019, 10, -0.33021545
28/07/2019, 7, -0.99661255
28/07/2019, 5, -1.0094604
28/07/2019, 3, -4.5388336
28/07/2019, 2, -0.9605255
28/07/2019, 1, 2.260315
29/07/2019, 100, -0.23854065
29/07/2019, 70, -0.27200317
29/07/2019, 50, -0.10293579
29/07/2019, 30, -0.075805664
29/07/2019, 20, -0.015167236
29/07/2019, 10, -0.17315674
29/07/2019, 7, -1.068634
29/07/2019, 5, -0.85365295
29/07/2019, 3, -3.3845673
29/07/2019, 2, -0.72369385
29/07/2019, 1, 2.9452362
30/07/2019, 100, -0.22088623
30/07/2019, 70, -0.3057251
30/07/2019, 50, -0.106033325
30/07/2019, 30, -0.06121826
30/07/2019, 20, 0.053848267
30/07/2019, 10, -0.1894226
30/07/2019, 7, -0.9782562
30/07/2019, 5, -1.0075073
30/07/2019, 3, -3.120575
30/07/2019, 2, -0.33843994
30/07/2019, 1, 1.5529785
31/07/2019, 100, -0.2323761
31/07/2019, 70, -0.345047
31/07/2019, 50, -0.13169861
31/07/2019, 30, -0.031845093
31/07/2019, 20, 0.14291382
31/07/2019, 10, -0.06388855
31/07/2019, 7, -1.2761383
31/07/2019, 5, -1.4526825
31/07/2019, 3, -2.8862915
31/07/2019, 2, 0.9279175
31/07/2019, 1, 0.8300781
01/08/2019, 100, -0.27911377
01/08/2019, 70, -0.27719116
01/08/2019, 50, -0.13987732
01/08/2019, 30, 0.017089844
01/08/2019, 20, 0.025482178
01/08/2019, 10, -0.118896484
01/08/2019, 7, -1.324173
01/08/2019, 5, -1.9207153
01/08/2019, 3, -3.1949005
01/08/2019, 2, 0.46498108
01/08/2019, 1, 0.96243286
02/08/2019, 100, -0.329422
02/08/2019, 70, -0.3331604
02/08/2019, 50, -0.15322876
02/08/2019, 30, -0.03616333
02/08/2019, 20, -0.049819946
02/08/2019, 10, -0.19865417
02/08/2019, 7, -1.3938446
02/08/2019, 5, -1.8211823
02/08/2019, 3, -3.1541443
02/08/2019, 2, -0.45639038
02/08/2019, 1, 0.31915283
03/08/2019, 100, -0.25967407
03/08/2019, 70, -0.39733887
03/08/2019, 50, -0.2571106
03/08/2019, 30, -0.005203247
03/08/2019, 20, -0.000289917
03/08/2019, 10, -0.12251282
03/08/2019, 7, -1.3885651
03/08/2019, 5, -1.6500397
03/08/2019, 3, -3.5331268
03/08/2019, 2, -0.6955261
03/08/2019, 1, 0.60609436
04/08/2019, 100, -0.38331604
04/08/2019, 70, -0.3006897
04/08/2019, 50, -0.090164185
04/08/2019, 30, -0.08076477
04/08/2019, 20, 0.019821167
04/08/2019, 10, -0.2562256
04/08/2019, 7, -1.2100067
04/08/2019, 5, -1.2935638
04/08/2019, 3, -3.8212585
04/08/2019, 2, -1.1571503
04/08/2019, 1, 1.8481903
05/08/2019, 100, -0.3553772
05/08/2019, 70, -0.2645111
05/08/2019, 50, -0.13027954
05/08/2019, 30, -0.012817383
05/08/2019, 20, -0.008346558
05/08/2019, 10, -0.11154175
05/08/2019, 7, -1.409729
05/08/2019, 5, -1.5292816
05/08/2019, 3, -3.4542542
05/08/2019, 2, 0.06985474
05/08/2019, 1, 0.38298035
06/08/2019, 100, -0.2973938
06/08/2019, 70, -0.25305176
06/08/2019, 50, -0.04310608
06/08/2019, 30, 0.033828735
06/08/2019, 20, 0.055480957
06/08/2019, 10, -0.07385254
06/08/2019, 7, -1.1904907
06/08/2019, 5, -1.6719971
06/08/2019, 3, -3.2305603
06/08/2019, 2, -0.6631012
06/08/2019, 1, 0.62857056
07/08/2019, 100, -0.2456665
07/08/2019, 70, -0.26927185
07/08/2019, 50, -0.045288086
07/08/2019, 30, 0.072631836
07/08/2019, 20, -0.012924194
07/08/2019, 10, -0.20643616
07/08/2019, 7, -1.1117401
07/08/2019, 5, -1.5884552
07/08/2019, 3, -3.3183746
07/08/2019, 2, -0.7068939
07/08/2019, 1, 1.0098114
08/08/2019, 100, -0.2561798
08/08/2019, 70, -0.23095703
08/08/2019, 50, -0.06695557
08/08/2019, 30, -0.10140991
08/08/2019, 20, -0.10496521
08/08/2019, 10, -0.12538147
08/08/2019, 7, -1.0015259
08/08/2019, 5, -1.3940277
08/08/2019, 3, -2.6869354
08/08/2019, 2, -0.6571808
08/08/2019, 1, 0.20794678
09/08/2019, 100, -0.35429382
09/08/2019, 70, -0.3730774
09/08/2019, 50, -0.1416626
09/08/2019, 30, -0.09744263
09/08/2019, 20, 0.0664978
09/08/2019, 10, -0.28727722
09/08/2019, 7, -1.1578522
09/08/2019, 5, -1.3477631
09/08/2019, 3, -3.210556
09/08/2019, 2, -1.4378815
09/08/2019, 1, 0.631958
10/08/2019, 100, -0.32862854
10/08/2019, 70, -0.2601776
10/08/2019, 50, -0.07833862
10/08/2019, 30, -0.035308838
10/08/2019, 20, 0.05949402
10/08/2019, 10, -0.35350037
10/08/2019, 7, -1.2354584
10/08/2019, 5, -1.5635529
10/08/2019, 3, -3.3316803
10/08/2019, 2, -1.7115479
10/08/2019, 1, 1.3074799
11/08/2019, 100, -0.25871277
11/08/2019, 70, -0.30404663
11/08/2019, 50, -0.15626526
11/08/2019, 30, -0.029525757
11/08/2019, 20, 0.072891235
11/08/2019, 10, -0.2693329
11/08/2019, 7, -1.2366943
11/08/2019, 5, -1.2798157
11/08/2019, 3, -1.8710632
11/08/2019, 2, -0.2579956
11/08/2019, 1, 0.108947754
12/08/2019, 100, -0.26205444
12/08/2019, 70, -0.26515198
12/08/2019, 50, -0.08522034
12/08/2019, 30, -0.080841064
12/08/2019, 20, 0.10159302
