Date, level, difference value
01/08/2002, 100, -1.2308044
01/08/2002, 70, -1.3267059
01/08/2002, 50, -0.5118408
01/08/2002, 30, -0.5971222
01/08/2002, 20, -0.6811676
01/08/2002, 10, 1.2474365
01/08/2002, 7, -1.1239166
01/08/2002, 5, -4.9335175
01/08/2002, 3, 2.943924
01/08/2002, 2, 10.173676
01/08/2002, 1, -12.424652
02/08/2002, 100, -1.3582458
02/08/2002, 70, -1.3634644
02/08/2002, 50, -0.5656128
02/08/2002, 30, -0.5970459
02/08/2002, 20, -0.40724182
02/08/2002, 10, 0.9025421
02/08/2002, 7, -1.9035492
02/08/2002, 5, -4.467148
02/08/2002, 3, 4.555725
02/08/2002, 2, 10.614624
02/08/2002, 1, -13.578659
03/08/2002, 100, -1.3153381
03/08/2002, 70, -1.3911896
03/08/2002, 50, -0.63204956
03/08/2002, 30, -0.55737305
03/08/2002, 20, -0.3430481
03/08/2002, 10, 0.40792847
03/08/2002, 7, -2.4680786
03/08/2002, 5, -4.5667267
03/08/2002, 3, 5.06398
03/08/2002, 2, 8.869232
03/08/2002, 1, -13.393051
04/08/2002, 100, -1.2822723
04/08/2002, 70, -1.4282379
04/08/2002, 50, -0.6302185
04/08/2002, 30, -0.33563232
04/08/2002, 20, -0.1932373
04/08/2002, 10, 0.49386597
04/08/2002, 7, -2.7274017
04/08/2002, 5, -4.313278
04/08/2002, 3, 5.1736298
04/08/2002, 2, 6.936508
04/08/2002, 1, -11.752411
05/08/2002, 100, -1.1909027
05/08/2002, 70, -1.4637299
05/08/2002, 50, -0.6158447
05/08/2002, 30, -0.12207031
05/08/2002, 20, -0.07098389
05/08/2002, 10, -0.06271362
05/08/2002, 7, -2.859024
05/08/2002, 5, -3.4804382
05/08/2002, 3, 4.401886
05/08/2002, 2, 4.9530334
05/08/2002, 1, -9.820251
06/08/2002, 100, -1.1646271
06/08/2002, 70, -1.3246918
06/08/2002, 50, -0.57933044
06/08/2002, 30, -0.07701111
06/08/2002, 20, -0.045150757
06/08/2002, 10, -0.22044373
06/08/2002, 7, -2.829361
06/08/2002, 5, -3.3141327
06/08/2002, 3, 2.8851013
06/08/2002, 2, 3.284546
06/08/2002, 1, -9.72876
07/08/2002, 100, -1.1880188
07/08/2002, 70, -1.2859192
07/08/2002, 50, -0.58636475
07/08/2002, 30, -0.23649597
07/08/2002, 20, -0.2776184
07/08/2002, 10, -0.1590271
07/08/2002, 7, -2.5779572
07/08/2002, 5, -3.2492065
07/08/2002, 3, 3.377945
07/08/2002, 2, 5.4480896
07/08/2002, 1, -9.60672
08/08/2002, 100, -1.1565704
08/08/2002, 70, -1.2962036
08/08/2002, 50, -0.58821106
08/08/2002, 30, -0.3346405
08/08/2002, 20, -0.31973267
08/08/2002, 10, 0.05256653
08/08/2002, 7, -2.97406
08/08/2002, 5, -3.873886
08/08/2002, 3, 4.049347
08/08/2002, 2, 6.3958282
08/08/2002, 1, -10.3498535
09/08/2002, 100, -1.0968628
09/08/2002, 70, -1.4202881
09/08/2002, 50, -0.63523865
09/08/2002, 30, -0.34346008
09/08/2002, 20, -0.41897583
09/08/2002, 10, 0.055130005
09/08/2002, 7, -2.5126953
09/08/2002, 5, -4.2333527
09/08/2002, 3, 4.25412
09/08/2002, 2, 8.581543
09/08/2002, 1, -12.438538
10/08/2002, 100, -1.0247955
10/08/2002, 70, -1.3640137
10/08/2002, 50, -0.66716003
10/08/2002, 30, -0.22680664
10/08/2002, 20, -0.30223083
10/08/2002, 10, 0.2571411
10/08/2002, 7, -2.3733673
10/08/2002, 5, -4.3431854
10/08/2002, 3, 4.9954834
10/08/2002, 2, 9.448242
10/08/2002, 1, -13.487732
11/08/2002, 100, -1.1444397
11/08/2002, 70, -1.2533112
11/08/2002, 50, -0.4835968
11/08/2002, 30, -0.2013855
11/08/2002, 20, -0.25572205
11/08/2002, 10, 0.29736328
11/08/2002, 7, -2.5493011
11/08/2002, 5, -4.253998
11/08/2002, 3, 5.127655
11/08/2002, 2, 8.8714905
11/08/2002, 1, -14.85144
12/08/2002, 100, -1.1944885
12/08/2002, 70, -1.1037903
12/08/2002, 50, -0.36338806
12/08/2002, 30, -0.19515991
12/08/2002, 20, 0.057418823
12/08/2002, 10, 0.004348755
12/08/2002, 7, -2.749771
12/08/2002, 5, -3.483139
12/08/2002, 3, 4.377014
12/08/2002, 2, 5.9658966
12/08/2002, 1, -12.617035
13/08/2002, 100, -1.0350342
13/08/2002, 70, -1.1439056
13/08/2002, 50, -0.36627197
13/08/2002, 30, -0.03062439
13/08/2002, 20, 0.2883606
13/08/2002, 10, -0.48791504
13/08/2002, 7, -2.661438
13/08/2002, 5, -2.4971924
13/08/2002, 3, 3.2831573
13/08/2002, 2, 4.4059296
13/08/2002, 1, -9.215057
14/08/2002, 100, -1.1335449
14/08/2002, 70, -1.1662598
14/08/2002, 50, -0.40248108
14/08/2002, 30, -0.170578
14/08/2002, 20, 0.17216492
14/08/2002, 10, -0.7762604
14/08/2002, 7, -2.6239624
14/08/2002, 5, -1.9067688
14/08/2002, 3, 3.2024689
14/08/2002, 2, 3.7502594
14/08/2002, 1, -7.988983
15/08/2002, 100, -1.2397156
15/08/2002, 70, -1.131073
15/08/2002, 50, -0.41984558
15/08/2002, 30, -0.28260803
15/08/2002, 20, -0.19998169
