Date, level, difference value
16/06/2019, 100, -0.4443531
16/06/2019, 70, -0.7172985
16/06/2019, 50, -0.8810501
16/06/2019, 30, -0.9570694
16/06/2019, 20, -1.4216595
16/06/2019, 10, -1.8651276
16/06/2019, 7, -1.9483681
16/06/2019, 5, -1.7583313
16/06/2019, 3, -2.21727
16/06/2019, 2, -2.7447586
16/06/2019, 1, -2.929596
17/06/2019, 100, -0.609354
17/06/2019, 70, -0.71988106
17/06/2019, 50, -0.8893738
17/06/2019, 30, -1.1565971
17/06/2019, 20, -1.1911106
17/06/2019, 10, -1.6488953
17/06/2019, 7, -1.9410324
17/06/2019, 5, -2.3336678
17/06/2019, 3, -2.4272194
17/06/2019, 2, -2.70092
17/06/2019, 1, -3.2414188
18/06/2019, 100, -0.6549587
18/06/2019, 70, -0.6984348
18/06/2019, 50, -0.7958412
18/06/2019, 30, -1.139225
18/06/2019, 20, -1.3163242
18/06/2019, 10, -1.6176109
18/06/2019, 7, -1.8773575
18/06/2019, 5, -2.0244598
18/06/2019, 3, -2.1062698
18/06/2019, 2, -2.4403114
18/06/2019, 1, -2.1654549
19/06/2019, 100, -0.6223812
19/06/2019, 70, -0.75401497
19/06/2019, 50, -0.86762047
19/06/2019, 30, -1.082859
19/06/2019, 20, -1.365778
19/06/2019, 10, -1.9000244
19/06/2019, 7, -2.0817604
19/06/2019, 5, -2.0327034
19/06/2019, 3, -2.0556068
19/06/2019, 2, -2.2734756
19/06/2019, 1, -2.6997528
20/06/2019, 100, -0.5373726
20/06/2019, 70, -0.7820015
20/06/2019, 50, -0.89393616
20/06/2019, 30, -1.0810871
20/06/2019, 20, -1.3066902
20/06/2019, 10, -1.7045746
20/06/2019, 7, -1.7691231
20/06/2019, 5, -1.9860344
20/06/2019, 3, -2.4164886
20/06/2019, 2, -3.1020203
20/06/2019, 1, -3.2569733
21/06/2019, 100, -0.8836727
21/06/2019, 70, -0.91093445
21/06/2019, 50, -1.1133766
21/06/2019, 30, -1.2730217
21/06/2019, 20, -1.3778572
21/06/2019, 10, -2.093048
21/06/2019, 7, -2.2203255
21/06/2019, 5, -2.3480835
21/06/2019, 3, -2.333397
21/06/2019, 2, -2.771515
21/06/2019, 1, -3.7572136
22/06/2019, 100, -0.7291107
22/06/2019, 70, -0.9646492
22/06/2019, 50, -1.0761356
22/06/2019, 30, -1.3116913
22/06/2019, 20, -1.568039
22/06/2019, 10, -1.9441719
22/06/2019, 7, -2.2005959
22/06/2019, 5, -2.3024483
22/06/2019, 3, -2.4215126
22/06/2019, 2, -2.8090477
22/06/2019, 1, -2.4725533
23/06/2019, 100, -0.8117008
23/06/2019, 70, -0.9606476
23/06/2019, 50, -1.2274284
23/06/2019, 30, -1.3658009
23/06/2019, 20, -1.6435738
23/06/2019, 10, -2.0165176
23/06/2019, 7, -2.3323975
23/06/2019, 5, -2.392105
23/06/2019, 3, -2.752369
23/06/2019, 2, -2.8548088
23/06/2019, 1, -3.2177124
24/06/2019, 100, -0.77493286
24/06/2019, 70, -1.0289536
24/06/2019, 50, -1.1529293
24/06/2019, 30, -1.5041599
24/06/2019, 20, -1.6102867
24/06/2019, 10, -2.2791786
24/06/2019, 7, -2.2003174
24/06/2019, 5, -2.3539848
24/06/2019, 3, -2.693737
24/06/2019, 2, -3.2519455
24/06/2019, 1, -3.504673
25/06/2019, 100, -0.9032402
25/06/2019, 70, -1.0558681
25/06/2019, 50, -1.3642311
25/06/2019, 30, -1.6079292
25/06/2019, 20, -1.8913155
25/06/2019, 10, -2.1687508
25/06/2019, 7, -2.3457642
25/06/2019, 5, -2.6336784
25/06/2019, 3, -2.8306427
25/06/2019, 2, -3.2668686
25/06/2019, 1, -3.3000755
26/06/2019, 100, -1.0327606
26/06/2019, 70, -1.3362522
26/06/2019, 50, -1.4341774
26/06/2019, 30, -1.7882023
26/06/2019, 20, -2.08955
26/06/2019, 10, -2.4444885
26/06/2019, 7, -2.6734123
26/06/2019, 5, -2.759739
26/06/2019, 3, -3.0755768
26/06/2019, 2, -3.756115
26/06/2019, 1, -3.1950188
27/06/2019, 100, -1.0543785
27/06/2019, 70, -1.1283875
27/06/2019, 50, -1.29315
27/06/2019, 30, -1.6912518
27/06/2019, 20, -1.8779125
27/06/2019, 10, -2.3107948
27/06/2019, 7, -2.5043297
27/06/2019, 5, -2.7802696
27/06/2019, 3, -2.594246
27/06/2019, 2, -3.0113869
27/06/2019, 1, -3.9279976
28/06/2019, 100, -0.7803135
28/06/2019, 70, -0.90088844
28/06/2019, 50, -1.194624
28/06/2019, 30, -1.5110149
28/06/2019, 20, -1.7398129
28/06/2019, 10, -2.2807655
28/06/2019, 7, -2.4983673
