Date, level, difference value
01/06/2019, 100, -0.19235992
01/06/2019, 70, -0.17765808
01/06/2019, 50, -0.17485046
01/06/2019, 30, -0.23052406
01/06/2019, 20, -0.2873001
01/06/2019, 10, -0.34910583
01/06/2019, 7, -0.3304367
01/06/2019, 5, -0.37400818
01/06/2019, 3, -0.82725906
01/06/2019, 2, -1.139801
01/06/2019, 1, -1.3959427
02/06/2019, 100, -0.31343174
02/06/2019, 70, -0.26293564
02/06/2019, 50, -0.28546524
02/06/2019, 30, -0.27389145
02/06/2019, 20, -0.33290482
02/06/2019, 10, -0.63518524
02/06/2019, 7, -0.550663
02/06/2019, 5, -0.54222107
02/06/2019, 3, -0.971035
02/06/2019, 2, -1.4986153
02/06/2019, 1, -0.9277878
03/06/2019, 100, -0.034553528
03/06/2019, 70, -0.0415802
03/06/2019, 50, -0.049901962
03/06/2019, 30, -0.1751976
03/06/2019, 20, -0.28590965
03/06/2019, 10, -0.47225952
03/06/2019, 7, -0.4744339
03/06/2019, 5, -0.65245056
03/06/2019, 3, -1.028614
03/06/2019, 2, -1.666584
03/06/2019, 1, -1.4725361
04/06/2019, 100, -0.06116295
04/06/2019, 70, -0.08621979
04/06/2019, 50, -0.10877609
04/06/2019, 30, -0.062469482
04/06/2019, 20, -0.13403893
04/06/2019, 10, -0.31089783
04/06/2019, 7, -0.45627975
04/06/2019, 5, -0.4520111
04/06/2019, 3, -0.8791008
04/06/2019, 2, -1.3012447
04/06/2019, 1, -0.7798729
05/06/2019, 100, -0.14456367
05/06/2019, 70, -0.121011734
05/06/2019, 50, -0.094423294
05/06/2019, 30, -0.061206818
05/06/2019, 20, -0.12839699
05/06/2019, 10, -0.21336365
05/06/2019, 7, -0.13769531
05/06/2019, 5, -0.35795212
05/06/2019, 3, -0.23278427
05/06/2019, 2, -0.32310867
05/06/2019, 1, -0.3544731
06/06/2019, 100, -0.14265347
06/06/2019, 70, -0.12455368
06/06/2019, 50, -0.115270615
06/06/2019, 30, -0.102832794
06/06/2019, 20, -0.16886711
06/06/2019, 10, -0.14728928
06/06/2019, 7, -0.099407196
06/06/2019, 5, -0.3105507
06/06/2019, 3, -0.46622086
06/06/2019, 2, -0.30614853
06/06/2019, 1, 0.03627014
07/06/2019, 100, -0.20640945
07/06/2019, 70, -0.22269058
07/06/2019, 50, -0.24430084
07/06/2019, 30, -0.26245308
07/06/2019, 20, -0.25574684
07/06/2019, 10, -0.34874344
07/06/2019, 7, -0.30337906
07/06/2019, 5, -0.4038658
07/06/2019, 3, -0.6200905
07/06/2019, 2, -0.8089371
07/06/2019, 1, -0.610836
08/06/2019, 100, -0.30921555
08/06/2019, 70, -0.31087685
08/06/2019, 50, -0.29745102
08/06/2019, 30, -0.26729202
08/06/2019, 20, -0.2870922
08/06/2019, 10, -0.36220932
08/06/2019, 7, -0.35692215
08/06/2019, 5, -0.5378952
08/06/2019, 3, -0.69020844
08/06/2019, 2, -0.67767334
08/06/2019, 1, -0.10157013
09/06/2019, 100, -0.18288231
09/06/2019, 70, -0.19921303
09/06/2019, 50, -0.1424427
09/06/2019, 30, -0.13147163
09/06/2019, 20, -0.14683533
09/06/2019, 10, -0.2829361
09/06/2019, 7, -0.25603867
09/06/2019, 5, -0.22708893
09/06/2019, 3, -0.43430328
09/06/2019, 2, -0.47384644
09/06/2019, 1, -0.19506454
10/06/2019, 100, -0.0897274
10/06/2019, 70, -0.11668396
10/06/2019, 50, -0.0805912
10/06/2019, 30, -0.11760521
10/06/2019, 20, -0.15688705
10/06/2019, 10, -0.33428574
10/06/2019, 7, -0.41140366
10/06/2019, 5, -0.51413345
10/06/2019, 3, -0.80680466
10/06/2019, 2, -0.96355057
10/06/2019, 1, -0.43414307
11/06/2019, 100, -0.034404755
11/06/2019, 70, 0.02324295
11/06/2019, 50, -0.09243584
11/06/2019, 30, -0.10362816
11/06/2019, 20, -0.16467285
11/06/2019, 10, -0.38892365
11/06/2019, 7, -0.48100662
11/06/2019, 5, -0.63404465
11/06/2019, 3, -0.7809601
11/06/2019, 2, -0.897892
11/06/2019, 1, -0.44951248
12/06/2019, 100, -0.03096962
12/06/2019, 70, -0.09174538
12/06/2019, 50, -0.06323242
12/06/2019, 30, -0.11109352
12/06/2019, 20, -0.14624023
12/06/2019, 10, -0.36455917
12/06/2019, 7, -0.40309525
12/06/2019, 5, -0.54748917
12/06/2019, 3, -0.6405029
12/06/2019, 2, -0.8169632
12/06/2019, 1, -0.63406754
13/06/2019, 100, -0.04784012
13/06/2019, 70, -0.06644821
13/06/2019, 50, -0.11349678
13/06/2019, 30, -0.20989227
13/06/2019, 20, -0.24475098
13/06/2019, 10, -0.41818237
13/06/2019, 7, -0.5392685
13/06/2019, 5, -0.71453094
13/06/2019, 3, -1.2659492
13/06/2019, 2, -1.3775864
13/06/2019, 1, -0.8978348
14/06/2019, 100, 0.0044231415
14/06/2019, 70, 0.00044441223
14/06/2019, 50, -0.034934998
14/06/2019, 30, -0.11362457
14/06/2019, 20, -0.09798813
14/06/2019, 10, -0.24241257
14/06/2019, 7, -0.30653763
14/06/2019, 5, -0.50143814
14/06/2019, 3, -0.65309143
14/06/2019, 2, -0.6500702
14/06/2019, 1, -0.16816711
15/06/2019, 100, 0.0055599213
15/06/2019, 70, -0.011190414
15/06/2019, 50, 0.021791458
15/06/2019, 30, -0.081445694
15/06/2019, 20, -0.07054901
15/06/2019, 10, -0.2421875
15/06/2019, 7, -0.34218597
15/06/2019, 5, -0.36825943
