Date, level, difference value
01/08/2002, 100, -0.69957733
01/08/2002, 70, -1.0343342
01/08/2002, 50, -1.1864223
01/08/2002, 30, -1.449234
01/08/2002, 20, -1.6327896
01/08/2002, 10, -2.1273384
01/08/2002, 7, -2.5237846
01/08/2002, 5, -2.5932465
01/08/2002, 3, -2.9350204
01/08/2002, 2, -3.898262
01/08/2002, 1, -3.3027878
02/08/2002, 100, -0.8569622
02/08/2002, 70, -1.0971031
02/08/2002, 50, -1.3158131
02/08/2002, 30, -1.5932617
02/08/2002, 20, -1.7564011
02/08/2002, 10, -2.320053
02/08/2002, 7, -2.4663544
02/08/2002, 5, -2.3922844
02/08/2002, 3, -2.5563164
02/08/2002, 2, -3.9517822
02/08/2002, 1, -2.8138275
03/08/2002, 100, -0.963892
03/08/2002, 70, -1.1213169
03/08/2002, 50, -1.5116673
03/08/2002, 30, -1.72332
03/08/2002, 20, -1.8429413
03/08/2002, 10, -2.3939743
03/08/2002, 7, -2.5469513
03/08/2002, 5, -2.2855263
03/08/2002, 3, -3.0008583
03/08/2002, 2, -3.9769554
03/08/2002, 1, -2.0813942
04/08/2002, 100, -1.0119572
04/08/2002, 70, -1.2033691
04/08/2002, 50, -1.363205
04/08/2002, 30, -1.7735825
04/08/2002, 20, -1.9201927
04/08/2002, 10, -2.6428146
04/08/2002, 7, -2.7883873
04/08/2002, 5, -2.895977
04/08/2002, 3, -3.3854942
04/08/2002, 2, -4.05344
04/08/2002, 1, -2.8667374
05/08/2002, 100, -0.99409676
05/08/2002, 70, -1.2013569
05/08/2002, 50, -1.4562263
05/08/2002, 30, -1.7178192
05/08/2002, 20, -1.8646011
05/08/2002, 10, -2.4131317
05/08/2002, 7, -2.589779
05/08/2002, 5, -2.7088585
05/08/2002, 3, -3.6273117
05/08/2002, 2, -4.4280853
05/08/2002, 1, -2.7121582
06/08/2002, 100, -0.51143265
06/08/2002, 70, -0.72579956
06/08/2002, 50, -1.0501022
06/08/2002, 30, -1.4352722
06/08/2002, 20, -1.6108437
06/08/2002, 10, -2.1011467
06/08/2002, 7, -2.247383
06/08/2002, 5, -2.3792953
06/08/2002, 3, -2.819191
06/08/2002, 2, -2.957817
06/08/2002, 1, -1.435379
07/08/2002, 100, -0.62781715
07/08/2002, 70, -0.82471466
07/08/2002, 50, -1.09268
07/08/2002, 30, -1.3097992
07/08/2002, 20, -1.6892624
07/08/2002, 10, -2.0554962
07/08/2002, 7, -2.1357384
07/08/2002, 5, -2.1723251
07/08/2002, 3, -2.4955635
07/08/2002, 2, -3.181736
07/08/2002, 1, -2.453102
08/08/2002, 100, -0.5999031
08/08/2002, 70, -0.9225235
08/08/2002, 50, -1.1251011
08/08/2002, 30, -1.4985352
08/08/2002, 20, -1.5257759
08/08/2002, 10, -2.1093216
08/08/2002, 7, -2.0913696
08/08/2002, 5, -2.1166496
08/08/2002, 3, -2.3579903
08/08/2002, 2, -2.853016
08/08/2002, 1, -1.4941673
09/08/2002, 100, -0.71030045
09/08/2002, 70, -0.9538975
09/08/2002, 50, -1.1801777
09/08/2002, 30, -1.4155998
09/08/2002, 20, -1.7569618
09/08/2002, 10, -2.2362328
09/08/2002, 7, -2.3561096
09/08/2002, 5, -2.199215
09/08/2002, 3, -2.8652534
09/08/2002, 2, -3.7362595
09/08/2002, 1, -3.4402924
10/08/2002, 100, -0.9378338
10/08/2002, 70, -1.1000347
10/08/2002, 50, -1.4544506
10/08/2002, 30, -1.9070511
10/08/2002, 20, -2.0647812
10/08/2002, 10, -2.6080856
10/08/2002, 7, -2.7206078
10/08/2002, 5, -2.733902
10/08/2002, 3, -2.9895744
10/08/2002, 2, -3.6849594
10/08/2002, 1, -3.1478043
11/08/2002, 100, -0.9251232
