Date, level, difference value
01/06/2019, 100, -0.14567566
01/06/2019, 70, -0.23326111
01/06/2019, 50, -0.15792847
01/06/2019, 30, -0.108291626
01/06/2019, 20, -0.11151123
01/06/2019, 10, -0.28848267
01/06/2019, 7, -1.1813812
01/06/2019, 5, -1.3907318
01/06/2019, 3, -2.9286194
01/06/2019, 2, -0.5556488
01/06/2019, 1, 0.45750427
02/06/2019, 100, -0.22566223
02/06/2019, 70, -0.30393982
02/06/2019, 50, -0.12414551
02/06/2019, 30, -0.16009521
02/06/2019, 20, -0.14291382
02/06/2019, 10, -0.30207825
02/06/2019, 7, -1.0397644
02/06/2019, 5, -1.153717
02/06/2019, 3, -2.7500916
02/06/2019, 2, -0.3487091
02/06/2019, 1, -0.29574585
03/06/2019, 100, -0.26156616
03/06/2019, 70, -0.32951355
03/06/2019, 50, -0.12774658
03/06/2019, 30, -0.16430664
03/06/2019, 20, -0.10298157
03/06/2019, 10, -0.24256897
03/06/2019, 7, -1.1900787
03/06/2019, 5, -1.0869293
03/06/2019, 3, -2.8047028
03/06/2019, 2, 0.106933594
03/06/2019, 1, -0.7421112
04/06/2019, 100, -0.3032074
04/06/2019, 70, -0.3552246
04/06/2019, 50, -0.17958069
04/06/2019, 30, -0.10343933
04/06/2019, 20, -0.12245178
04/06/2019, 10, -0.37535095
04/06/2019, 7, -0.97514343
04/06/2019, 5, -1.2699127
04/06/2019, 3, -2.7910767
04/06/2019, 2, 0.23960876
04/06/2019, 1, -0.6911011
05/06/2019, 100, -0.28076172
05/06/2019, 70, -0.3506317
05/06/2019, 50, -0.23422241
05/06/2019, 30, -0.04345703
05/06/2019, 20, -0.14808655
05/06/2019, 10, -0.3663025
05/06/2019, 7, -1.071579
05/06/2019, 5, -1.3607635
05/06/2019, 3, -2.0556946
05/06/2019, 2, -0.50634766
05/06/2019, 1, -0.25715637
06/06/2019, 100, -0.30471802
06/06/2019, 70, -0.44221497
06/06/2019, 50, -0.19334412
06/06/2019, 30, -0.07997131
06/06/2019, 20, -0.22877502
06/06/2019, 10, -0.42567444
06/06/2019, 7, -1.1704559
06/06/2019, 5, -1.3112488
06/06/2019, 3, -2.4832764
06/06/2019, 2, -0.18385315
06/06/2019, 1, -0.39378357
07/06/2019, 100, -0.38052368
07/06/2019, 70, -0.44891357
07/06/2019, 50, -0.17424011
07/06/2019, 30, -0.1966095
07/06/2019, 20, -0.18641663
07/06/2019, 10, -0.35617065
07/06/2019, 7, -1.0896301
07/06/2019, 5, -0.86187744
07/06/2019, 3, -2.93898
07/06/2019, 2, -0.4404297
07/06/2019, 1, 0.28640747
08/06/2019, 100, -0.3427887
08/06/2019, 70, -0.3875885
08/06/2019, 50, -0.28547668
08/06/2019, 30, -0.24723816
08/06/2019, 20, -0.06994629
08/06/2019, 10, -0.39764404
08/06/2019, 7, -0.98002625
08/06/2019, 5, -1.0839386
08/06/2019, 3, -3.0796509
08/06/2019, 2, -0.4393463
08/06/2019, 1, 0.05050659
09/06/2019, 100, -0.39801025
09/06/2019, 70, -0.37556458
09/06/2019, 50, -0.28475952
09/06/2019, 30, -0.14553833
09/06/2019, 20, -0.10093689
09/06/2019, 10, -0.4260559
09/06/2019, 7, -1.0943604
09/06/2019, 5, -1.3204498
09/06/2019, 3, -3.192276
09/06/2019, 2, 0.26150513
09/06/2019, 1, 0.21522522
10/06/2019, 100, -0.399765
10/06/2019, 70, -0.3242035
10/06/2019, 50, -0.22010803
10/06/2019, 30, -0.16322327
10/06/2019, 20, -0.11354065
10/06/2019, 10, -0.47573853
10/06/2019, 7, -1.2157593
10/06/2019, 5, -1.2009277
10/06/2019, 3, -3.1448517
10/06/2019, 2, -0.20762634
10/06/2019, 1, -0.33641052
11/06/2019, 100, -0.33216858
11/06/2019, 70, -0.33633423
11/06/2019, 50, -0.21243286
11/06/2019, 30, -0.13131714
11/06/2019, 20, -0.11824036
11/06/2019, 10, -0.28424072
11/06/2019, 7, -1.2194672
11/06/2019, 5, -0.99938965
11/06/2019, 3, -3.0179749
11/06/2019, 2, -0.9925537
11/06/2019, 1, 0.20506287
12/06/2019, 100, -0.319458
12/06/2019, 70, -0.33714294
12/06/2019, 50, -0.21974182
12/06/2019, 30, -0.13809204
12/06/2019, 20, -0.11125183
12/06/2019, 10, -0.35165405
12/06/2019, 7, -1.0219421
12/06/2019, 5, -1.0348663
12/06/2019, 3, -3.328827
12/06/2019, 2, -0.38485718
12/06/2019, 1, -0.44703674
13/06/2019, 100, -0.35565186
13/06/2019, 70, -0.42390442
13/06/2019, 50, -0.2516632
13/06/2019, 30, -0.18943787
13/06/2019, 20, -0.1521759
13/06/2019, 10, -0.27037048
13/06/2019, 7, -0.8523865
13/06/2019, 5, -0.9466553
13/06/2019, 3, -3.3138428
13/06/2019, 2, 0.17747498
13/06/2019, 1, -0.5671692
14/06/2019, 100, -0.31350708
14/06/2019, 70, -0.41758728
14/06/2019, 50, -0.14616394
14/06/2019, 30, -0.09669495
14/06/2019, 20, -0.023895264
14/06/2019, 10, -0.33618164
14/06/2019, 7, -0.8557892
14/06/2019, 5, -0.8036041
14/06/2019, 3, -2.918213
14/06/2019, 2, -0.4268341
14/06/2019, 1, -0.33148193
15/06/2019, 100, -0.31478882
15/06/2019, 70, -0.34803772
15/06/2019, 50, -0.13827515
15/06/2019, 30, -0.011077881
15/06/2019, 20, -0.0022888184
15/06/2019, 10, -0.13699341
15/06/2019, 7, -1.0189209
15/06/2019, 5, -0.81108093
15/06/2019, 3, -2.6643524
15/06/2019, 2, -0.4190216
15/06/2019, 1, -0.25112915
16/06/2019, 100, -0.34214783
16/06/2019, 70, -0.3017578
16/06/2019, 50, -0.07940674
16/06/2019, 30, -0.05845642
16/06/2019, 20, 0.08476257
16/06/2019, 10, -0.36387634
16/06/2019, 7, -1.1611633
16/06/2019, 5, -1.2355194
16/06/2019, 3, -2.3230286
16/06/2019, 2, -0.20713806
16/06/2019, 1, -0.046463013
17/06/2019, 100, -0.30340576
17/06/2019, 70, -0.31800842
17/06/2019, 50, -0.16181946
17/06/2019, 30, -0.015136719
17/06/2019, 20, 0.04107666
17/06/2019, 10, -0.49430847
17/06/2019, 7, -1.1052856
17/06/2019, 5, -0.6256561
17/06/2019, 3, -2.8869781
17/06/2019, 2, -0.2781372
17/06/2019, 1, 0.1642456
18/06/2019, 100, -0.29264832
18/06/2019, 70, -0.31799316
18/06/2019, 50, -0.11836243
18/06/2019, 30, -0.06918335
18/06/2019, 20, -0.068984985
18/06/2019, 10, -0.44262695
18/06/2019, 7, -1.1168823
18/06/2019, 5, -1.4240875
18/06/2019, 3, -2.7400208
18/06/2019, 2, -0.29660034
18/06/2019, 1, 0.5648041
19/06/2019, 100, -0.35816956
19/06/2019, 70, -0.31643677
19/06/2019, 50, -0.13412476
19/06/2019, 30, -0.14167786
19/06/2019, 20, -0.038726807
19/06/2019, 10, -0.2647705
19/06/2019, 7, -1.3684845
19/06/2019, 5, -1.3581696
19/06/2019, 3, -2.686905
19/06/2019, 2, 0.41703796
19/06/2019, 1, -0.5274811
20/06/2019, 100, -0.2828064
20/06/2019, 70, -0.34968567
20/06/2019, 50, -0.19377136
20/06/2019, 30, -0.11387634
20/06/2019, 20, 0.021636963
20/06/2019, 10, -0.38064575
20/06/2019, 7, -1.4461365
20/06/2019, 5, -1.2653503
20/06/2019, 3, -2.427719
