Date, level, difference value
01/06/2019, 100, -0.47142696
01/06/2019, 70, -0.5693722
01/06/2019, 50, -0.75292206
01/06/2019, 30, -1.0140152
01/06/2019, 20, -1.1514206
01/06/2019, 10, -1.3853798
01/06/2019, 7, -1.6483269
01/06/2019, 5, -1.7776337
01/06/2019, 3, -1.4247627
01/06/2019, 2, -1.272522
01/06/2019, 1, -1.4686737
02/06/2019, 100, -0.17250347
02/06/2019, 70, -0.30627632
02/06/2019, 50, -0.43424416
02/06/2019, 30, -0.62122345
02/06/2019, 20, -0.8708763
02/06/2019, 10, -1.017025
02/06/2019, 7, -1.3196678
02/06/2019, 5, -1.4934883
02/06/2019, 3, -1.399025
02/06/2019, 2, -1.3126488
02/06/2019, 1, -1.640564
03/06/2019, 100, -0.39271927
03/06/2019, 70, -0.4767685
03/06/2019, 50, -0.6252041
03/06/2019, 30, -0.7590771
03/06/2019, 20, -0.8912811
03/06/2019, 10, -1.2255745
03/06/2019, 7, -1.3214989
03/06/2019, 5, -1.5114403
03/06/2019, 3, -1.4254265
03/06/2019, 2, -1.273426
03/06/2019, 1, -1.6328278
04/06/2019, 100, -0.48579216
04/06/2019, 70, -0.62579536
04/06/2019, 50, -0.7673702
04/06/2019, 30, -1.0011272
04/06/2019, 20, -1.0993099
04/06/2019, 10, -1.4387093
04/06/2019, 7, -1.5985184
04/06/2019, 5, -1.7262611
04/06/2019, 3, -1.2728233
04/06/2019, 2, -0.9930229
04/06/2019, 1, -1.45438
05/06/2019, 100, -0.6438732
05/06/2019, 70, -0.90265465
05/06/2019, 50, -0.9297085
05/06/2019, 30, -1.0693626
05/06/2019, 20, -1.4540825
05/06/2019, 10, -1.5832481
05/06/2019, 7, -1.7701187
05/06/2019, 5, -1.7514
05/06/2019, 3, -1.6387482
05/06/2019, 2, -1.8189583
05/06/2019, 1, -2.2375832
06/06/2019, 100, -0.7203579
06/06/2019, 70, -0.670311
06/06/2019, 50, -0.8593006
06/06/2019, 30, -1.1383457
06/06/2019, 20, -1.1827965
06/06/2019, 10, -1.5374222
06/06/2019, 7, -1.8365784
06/06/2019, 5, -1.8085899
06/06/2019, 3, -1.7600708
06/06/2019, 2, -1.9633675
06/06/2019, 1, -2.6145287
07/06/2019, 100, -0.39759922
07/06/2019, 70, -0.36903
07/06/2019, 50, -0.55560875
07/06/2019, 30, -0.8165226
07/06/2019, 20, -1.0434475
07/06/2019, 10, -1.3370819
07/06/2019, 7, -1.6466827
07/06/2019, 5, -1.7961807
07/06/2019, 3, -1.8929062
07/06/2019, 2, -1.9243851
07/06/2019, 1, -1.771141
08/06/2019, 100, -0.37012672
08/06/2019, 70, -0.4900627
08/06/2019, 50, -0.7539482
08/06/2019, 30, -0.8730869
08/06/2019, 20, -1.0581322
08/06/2019, 10, -1.5058174
08/06/2019, 7, -1.6524315
08/06/2019, 5, -1.7413635
08/06/2019, 3, -1.3906937
08/06/2019, 2, -1.4388771
08/06/2019, 1, -1.9186554
09/06/2019, 100, -0.40766144
09/06/2019, 70, -0.5537281
09/06/2019, 50, -0.7381077
09/06/2019, 30, -0.92598724
09/06/2019, 20, -1.1711674
09/06/2019, 10, -1.295887
09/06/2019, 7, -1.5343895
09/06/2019, 5, -1.6890831
09/06/2019, 3, -1.5049706
09/06/2019, 2, -1.5903893
09/06/2019, 1, -2.2394524
10/06/2019, 100, -0.50286865
10/06/2019, 70, -0.629879
10/06/2019, 50, -0.83034515
10/06/2019, 30, -1.10569
10/06/2019, 20, -1.2378769
10/06/2019, 10, -1.5317154
10/06/2019, 7, -1.6376457
10/06/2019, 5, -1.645195
10/06/2019, 3, -1.5475426
10/06/2019, 2, -1.7240257
10/06/2019, 1, -2.3797302
11/06/2019, 100, -0.54338646
11/06/2019, 70, -0.65463066
11/06/2019, 50, -0.7877865
